customer_key,customer_number,customer_name,age,age_groups,customer_segment,total_orders,total_sales,avg_order_value,avg_monthly_spend,total_quantity,total_products,recency,last_order_date,lifespan
24,AW00011023,Seth Edwards,42,40-49,New,2,122,61,11,6,1571,145,2014-01-14,11
25,AW00011024,Russell Xie,42,40-49,New,2,56,28,56,6,1549,151,2013-07-26,1
26,AW00011025,Alejandro Beck,75,50 And Above,VIP,3,6577,2192,199,6,1020,148,2013-10-25,33
27,AW00011026,Harold Sai,75,50 And Above,VIP,3,6575,2191,199,7,1339,148,2013-10-15,33
28,AW00011027,Jessie Zhao,74,50 And Above,VIP,3,6591,2197,199,9,1810,148,2013-10-24,33
29,AW00011028,Jill Jimenez,75,50 And Above,VIP,3,6474,2158,196,5,820,148,2013-10-07,33
30,AW00011029,Jimmy Moreno,74,50 And Above,VIP,3,6565,2188,193,7,1204,147,2013-11-11,34
31,AW00011030,Bethany Yuan,68,50 And Above,VIP,3,6471,2157,196,4,444,147,2013-11-09,33
32,AW00011031,Theresa Ramos,73,50 And Above,VIP,3,6478,2159,196,6,943,147,2013-11-13,33
33,AW00011032,Denise Stone,74,50 And Above,VIP,3,6525,2175,197,10,1849,147,2013-11-08,33
34,AW00011033,Jaime Nath,68,50 And Above,VIP,3,6495,2165,196,7,1083,147,2013-11-05,33
35,AW00011034,Ebony Gonzalez,74,50 And Above,VIP,3,6491,2163,196,4,554,147,2013-11-10,33
36,AW00011035,Wendy Dominguez,73,50 And Above,VIP,3,6451,2150,195,5,670,147,2013-11-15,33
37,AW00011036,Jennifer Russell,42,40-49,New,1,2355,2355,2355,2,369,157,2013-01-22,0
38,AW00011037,Chloe Garcia,43,40-49,New,1,2374,2374,2374,7,1526,157,2013-01-20,0
39,AW00011038,Diana Hernandez,73,50 And Above,VIP,3,6437,2145,195,3,277,147,2013-11-12,33
40,AW00011039,Marc Martin,72,50 And Above,VIP,3,6636,2212,201,9,1717,147,2013-11-11,33
41,AW00011040,Jesse Murphy,43,40-49,New,1,2351,2351,2351,3,577,154,2013-04-03,0
42,AW00011041,Amanda Carter,43,40-49,New,1,2381,2381,2381,3,588,157,2013-01-14,0
43,AW00011042,Megan Sanchez,44,40-49,New,2,3112,1556,345,3,521,148,2013-10-17,9
44,AW00011043,Nathan Simmons,45,40-49,New,2,48,24,16,3,740,150,2013-08-18,3
45,AW00011044,Adam Flores,72,50 And Above,VIP,3,6515,2171,197,7,1240,147,2013-11-08,33
46,AW00011045,Leonard Nara,71,50 And Above,New,2,115,57,19,4,1066,148,2013-10-29,6
47,AW00011046,Christine Yuan,71,50 And Above,VIP,3,6616,2205,200,6,1019,147,2013-11-12,33
48,AW00011047,Jaclyn Lu,71,50 And Above,VIP,3,6582,2194,199,4,541,147,2013-11-19,33
49,AW00011048,Jeremy Powell,70,50 And Above,VIP,3,6498,2166,191,8,1280,146,2013-12-25,34
50,AW00011049,Carol Rai,40,40-49,New,2,81,40,11,5,1368,148,2013-10-29,7
51,AW00011050,Alan Zheng,69,50 And Above,VIP,3,5007,1669,151,6,979,147,2013-11-19,33
52,AW00011051,Daniel Johnson,69,50 And Above,New,2,124,62,124,5,1232,145,2014-01-01,1
53,AW00011052,Heidi Lopez,69,50 And Above,VIP,3,8131,2710,301,7,1363,153,2013-05-27,27
54,AW00011053,Ana Price,40,40-49,New,1,2330,2330,2330,2,366,157,2013-01-17,0
55,AW00011054,Deanna Munoz,69,50 And Above,VIP,3,8223,2741,304,6,1062,153,2013-05-30,27
56,AW00011055,Gilbert Raje,69,50 And Above,VIP,3,8168,2722,281,8,1509,152,2013-06-07,29
57,AW00011056,Michele Nath,68,50 And Above,VIP,3,8207,2735,303,8,1446,153,2013-05-31,27
58,AW00011057,Carl Andersen,56,50 And Above,VIP,3,8088,2696,299,4,573,153,2013-05-21,27
59,AW00011058,Marc Diaz,61,50 And Above,VIP,3,8248,2749,305,6,1060,152,2013-06-04,27
60,AW00011059,Ashlee Andersen,67,50 And Above,New,3,117,39,117,7,1523,155,2013-03-16,1
61,AW00011060,Jon Zhou,67,50 And Above,VIP,3,8153,2717,301,6,937,152,2013-06-25,27
62,AW00011061,Todd Gao,50,50 And Above,VIP,3,8129,2709,301,6,938,152,2013-06-14,27
63,AW00011062,Noah Powell,45,40-49,New,1,2352,2352,2352,3,540,157,2013-01-07,0
64,AW00011063,Angela Murphy,46,40-49,New,1,2373,2373,2373,5,962,157,2013-01-12,0
65,AW00011064,Chase Reed,45,40-49,New,1,2305,2305,2305,2,224,157,2013-01-25,0
66,AW00011065,Jessica Henderson,47,40-49,New,2,202,101,18,5,1373,145,2014-01-10,11
67,AW00011066,Grace Butler,47,40-49,New,2,81,40,20,5,1367,149,2013-09-19,4
68,AW00011067,Caleb Carter,44,40-49,New,2,105,52,21,6,1602,145,2014-01-12,5
69,AW00011068,Tiffany Liang,60,50 And Above,New,3,113,37,18,9,1945,148,2013-10-08,6
70,AW00011069,Carolyn Navarro,60,50 And Above,VIP,3,8104,2701,311,3,295,152,2013-06-04,26
71,AW00011070,Willie Raji,66,50 And Above,VIP,3,8165,2721,314,10,2131,152,2013-06-26,26
72,AW00011071,Linda Serrano,66,50 And Above,New,3,110,36,12,7,1617,146,2013-12-01,9
73,AW00011072,Casey Luo,66,50 And Above,VIP,3,8194,2731,303,7,1142,152,2013-06-15,27
74,AW00011073,Amy Ye,64,50 And Above,New,3,192,64,38,10,2300,150,2013-08-21,5
75,AW00011074,Levi Arun,64,50 And Above,New,3,94,31,47,7,1458,153,2013-05-27,2
76,AW00011075,Felicia Jimenez,63,50 And Above,VIP,3,8068,2689,310,5,687,152,2013-06-24,26
77,AW00011076,Blake Anderson,63,50 And Above,VIP,3,8159,2719,313,4,536,152,2013-06-21,26
78,AW00011077,Leah Ye,63,50 And Above,VIP,3,8169,2723,314,5,785,152,2013-06-12,26
79,AW00011078,Gina Martin,41,40-49,New,17,912,53,82,31,8120,145,2014-01-28,11
80,AW00011079,Donald Gonzalez,56,50 And Above,New,3,58,19,5,5,952,145,2014-01-01,10
81,AW00011080,Damien Chander,61,50 And Above,VIP,3,8204,2734,315,7,1361,152,2013-06-23,26
82,AW00011081,Savannah Baker,54,50 And Above,New,2,104,52,52,5,1276,154,2013-04-13,2
83,AW00011082,Angela Butler,54,50 And Above,New,2,3110,1555,311,6,1186,147,2013-11-06,10
84,AW00011083,Alyssa Cox,49,40-49,New,2,3137,1568,313,5,1093,147,2013-11-08,10
85,AW00011084,Lucas Phillips,63,50 And Above,New,2,3078,1539,307,5,935,147,2013-11-21,10
86,AW00011085,Emily Johnson,63,50 And Above,New,2,129,64,129,5,1357,145,2014-01-08,1
87,AW00011086,Ryan Brown,63,50 And Above,New,2,153,76,30,6,1591,146,2013-12-21,5
88,AW00011087,Tamara Liang,63,50 And Above,New,2,200,100,33,4,1114,150,2013-08-09,6
89,AW00011088,Hunter Davis,63,50 And Above,New,2,3176,1588,317,7,1362,147,2013-11-12,10
90,AW00011089,Abigail Price,64,50 And Above,New,2,3188,1594,289,7,1467,147,2013-11-18,11
91,AW00011090,Trevor Bryant,58,50 And Above,VIP,3,6703,2234,248,6,939,147,2013-11-21,27
92,AW00011091,Dalton Perez,64,50 And Above,Regular,28,1186,42,98,59,15758,145,2014-01-08,12
93,AW00011092,Cheryl Diaz,54,50 And Above,VIP,3,8110,2703,311,5,563,152,2013-06-21,26
94,AW00011093,Aimee He,48,40-49,VIP,3,8180,2726,314,7,1240,152,2013-06-08,26
95,AW00011094,Cedric Ma,59,50 And Above,New,3,236,78,26,8,1842,145,2014-01-11,9
96,AW00011095,Chad Kumar,58,50 And Above,VIP,3,8158,2719,313,7,1203,152,2013-06-25,26
97,AW00011096,AndrΓö£ΓîÉs Anand,58,50 And Above,VIP,3,8063,2687,298,4,458,151,2013-07-30,27
98,AW00011097,Edwin Nara,54,50 And Above,VIP,3,8099,2699,299,5,640,151,2013-07-24,27
99,AW00011098,Mallory Rubio,60,50 And Above,New,3,89,29,11,4,1144,148,2013-10-16,8
100,AW00011099,Adam Ross,60,50 And Above,VIP,3,8216,2738,304,9,1639,151,2013-07-01,27
101,AW00011100,Latasha Navarro,60,50 And Above,VIP,3,8172,2724,291,7,1173,150,2013-08-07,28
102,AW00011101,Abby Sai,56,50 And Above,VIP,3,8262,2754,317,7,1191,152,2013-06-29,26
103,AW00011102,Julia Nelson,56,50 And Above,New,3,103,34,20,5,1096,146,2013-12-09,5
104,AW00011103,Cassie Chande,45,40-49,VIP,3,8182,2727,314,8,1446,152,2013-06-06,26
105,AW00011104,Edgar Sara,51,50 And Above,VIP,3,8173,2724,326,6,1138,152,2013-06-15,25
106,AW00011105,Candace Fernandez,56,50 And Above,VIP,3,8096,2698,323,5,568,152,2013-06-05,25
107,AW00011106,Jessie Liu,56,50 And Above,VIP,3,8079,2693,323,3,291,152,2013-06-15,25
108,AW00011107,Bianca Lin,50,50 And Above,VIP,3,8171,2723,326,6,948,152,2013-06-21,25
109,AW00011108,Kari Alvarez,57,50 And Above,VIP,3,8124,2708,324,5,815,152,2013-06-23,25
110,AW00011109,Ruben Kapoor,46,40-49,VIP,3,8245,2748,329,8,1461,152,2013-06-24,25
111,AW00011110,Curtis Yang,59,50 And Above,VIP,3,8093,2697,299,5,691,150,2013-08-20,27
112,AW00011111,Meredith Gutierrez,59,50 And Above,VIP,3,8137,2712,301,8,1434,150,2013-08-22,27
113,AW00011112,Crystal Wang,58,50 And Above,VIP,3,8295,2765,296,6,990,149,2013-09-02,28
114,AW00011113,Micheal Blanco,53,50 And Above,New,3,110,36,55,7,1556,154,2013-04-21,2
115,AW00011114,Leslie Moreno,59,50 And Above,New,3,123,41,13,7,1630,146,2013-12-26,9
116,AW00011115,Alvin Cai,59,50 And Above,New,3,114,38,10,6,1400,145,2014-01-02,11
117,AW00011116,Clinton Carlson,47,40-49,New,3,149,49,21,7,1646,148,2013-10-16,7
118,AW00011117,April Deng,60,50 And Above,VIP,3,8185,2728,327,8,1278,152,2013-06-25,25
119,AW00011118,Alvin Zeng,64,50 And Above,New,3,124,41,20,8,1721,145,2014-01-26,6
120,AW00011119,Evan James,86,50 And Above,New,2,85,42,9,4,958,147,2013-11-23,9
121,AW00011120,Beth JimΓö£ΓîÉnez,84,50 And Above,VIP,3,8242,2747,294,10,2167,149,2013-09-19,28
122,AW00011121,Orlando Suarez,60,50 And Above,New,3,58,19,11,6,1276,147,2013-11-04,5
123,AW00011122,Byron Vazquez,61,50 And Above,New,3,43,14,7,3,554,150,2013-08-22,6
124,AW00011123,Philip Alvarez,61,50 And Above,New,3,150,50,16,8,1828,145,2014-01-25,9
125,AW00011124,Ross Jordan,58,50 And Above,VIP,3,8129,2709,325,6,935,152,2013-06-18,25
126,AW00011125,Dana Navarro,65,50 And Above,New,3,79,26,13,7,1632,151,2013-07-03,6
127,AW00011126,Shaun Carson,72,50 And Above,Regular,3,4971,1657,165,8,1543,147,2013-11-03,30
128,AW00011127,Jan Edwards,45,40-49,New,2,44,22,7,3,863,148,2013-10-01,6
129,AW00011128,Samantha Long,45,40-49,New,2,144,72,72,7,1757,150,2013-08-12,2
130,AW00011129,Julia Wright,45,40-49,VIP,2,5873,2936,345,2,140,157,2013-01-09,17
131,AW00011130,Caroline Russell,41,40-49,New,1,37,37,37,2,543,146,2013-12-09,0
132,AW00011131,Amanda Rivera,41,40-49,New,5,166,33,55,9,2134,145,2014-01-23,3
133,AW00011132,Melissa Richardson,40,40-49,New,1,2372,2372,2372,6,1267,154,2013-04-09,0
134,AW00011133,Angela Griffin,40,40-49,New,1,72,72,72,4,857,146,2013-12-30,0
135,AW00011134,Larry Townsend,69,50 And Above,Regular,3,4911,1637,163,3,278,147,2013-11-03,30
136,AW00011135,Marcus Harris,41,40-49,New,1,2335,2335,2335,3,523,154,2013-04-18,0
137,AW00011136,Brianna Morgan,42,40-49,New,1,2381,2381,2381,3,587,157,2013-01-03,0
138,AW00011137,Jasmine Taylor,42,40-49,New,2,202,101,33,5,1373,145,2014-01-20,6
139,AW00011138,Lauren Davis,42,40-49,New,2,79,39,26,4,1108,146,2013-12-31,3
140,AW00011139,Tanya Moreno,77,50 And Above,New,2,84,42,84,3,697,148,2013-10-17,1
141,AW00011140,Javier Alvarez,44,40-49,New,1,40,40,40,2,573,155,2013-03-19,0
142,AW00011141,Nicole Ramirez,44,40-49,New,2,114,57,28,5,1354,149,2013-09-28,4
143,AW00011142,Eduardo Patterson,43,40-49,New,17,979,57,89,36,9537,145,2014-01-13,11
144,AW00011143,Jonathan Henderson,44,40-49,New,2,48,24,8,5,1381,146,2013-12-19,6
145,AW00011144,Edward Hernandez,41,40-49,New,1,2400,2400,2400,3,620,157,2013-01-25,0
146,AW00011145,Jasmine Coleman,41,40-49,New,1,2310,2310,2310,3,521,157,2013-01-25,0
147,AW00011146,Karla Goel,81,50 And Above,New,3,113,37,16,7,1701,149,2013-09-15,7
148,AW00011147,Ernest Wu,82,50 And Above,VIP,3,8195,2731,282,7,1190,148,2013-10-16,29
149,AW00011148,Ross Vazquez,79,50 And Above,New,3,126,42,14,6,1641,146,2013-12-03,9
150,AW00011149,Theodore Gill,80,50 And Above,New,3,41,13,8,4,996,147,2013-11-29,5
151,AW00011150,Russell Shen,80,50 And Above,New,3,192,64,48,8,2025,151,2013-07-15,4
152,AW00011151,Melinda Gill,79,50 And Above,VIP,3,8087,2695,278,6,887,148,2013-10-20,29
153,AW00011152,James Williams,45,40-49,New,1,2295,2295,2295,1,121,157,2013-01-09,0
154,AW00011153,Angela James,45,40-49,New,2,110,55,110,5,1416,155,2013-03-29,0
155,AW00011154,Megan Walker,44,40-49,New,1,2320,2320,2320,1,124,157,2013-01-10,0
156,AW00011155,Hunter Robinson,45,40-49,New,1,2320,2320,2320,1,123,157,2013-01-06,0
157,AW00011156,Maria Roberts,45,40-49,New,1,2390,2390,2390,4,940,157,2013-01-08,0
158,AW00011157,Hannah Long,46,40-49,New,2,41,20,20,3,833,149,2013-09-11,2
159,AW00011158,Jason Wright,45,40-49,New,1,2396,2396,2396,3,573,157,2013-01-19,0
160,AW00011159,Brianna Hughes,45,40-49,New,2,48,24,24,5,1381,147,2013-11-07,2
161,AW00011160,Maurice Tang,47,40-49,New,1,2322,2322,2322,2,382,156,2013-02-21,0
162,AW00011161,Emily Wood,47,40-49,New,2,94,47,18,6,1507,147,2013-11-11,5
163,AW00011162,Chase Cox,47,40-49,New,1,2330,2330,2330,2,365,156,2013-02-18,0
164,AW00011163,Gabriel Wang,46,40-49,New,2,46,23,15,4,1122,150,2013-08-05,3
165,AW00011164,Devin Brooks,47,40-49,New,2,145,72,36,6,1661,150,2013-08-05,4
166,AW00011165,Jocelyn Alexander,47,40-49,New,2,103,51,103,3,866,152,2013-06-05,1
167,AW00011166,Ashley Martinez,49,40-49,New,2,88,44,44,5,1386,146,2013-12-06,2
168,AW00011167,Jasmine Barnes,48,40-49,New,2,3126,1563,312,4,835,147,2013-11-28,10
169,AW00011168,David Rodriguez,53,50 And Above,New,2,3136,1568,313,7,1522,147,2013-11-16,10
170,AW00011169,Bryce Richardson,53,50 And Above,New,2,81,40,20,5,1366,149,2013-09-24,4
171,AW00011170,Carol Howard,53,50 And Above,New,2,157,78,39,7,1669,146,2013-12-29,4
172,AW00011171,Jonathan Hill,48,40-49,VIP,3,6716,2238,248,8,1213,147,2013-11-07,27
173,AW00011172,Gabrielle Adams,53,50 And Above,New,2,129,64,16,7,1750,145,2014-01-11,8
174,AW00011173,Sarah Thomas,53,50 And Above,New,2,103,51,11,3,867,146,2013-12-24,9
175,AW00011174,Nicholas Robinson,53,50 And Above,New,2,48,24,48,5,1381,151,2013-07-25,0
176,AW00011175,Luis Wang,58,50 And Above,VIP,3,6710,2236,248,8,1437,147,2013-11-03,27
177,AW00011176,Mason Roberts,47,40-49,New,28,1317,47,119,60,15796,145,2014-01-27,11
178,AW00011177,Jose Flores,78,50 And Above,New,2,135,67,19,6,1646,148,2013-10-14,7
179,AW00011178,Nathan Johnson,72,50 And Above,New,2,145,72,48,6,1660,153,2013-05-26,3
180,AW00011179,Molly Rodriguez,67,50 And Above,New,2,125,62,12,6,1516,145,2014-01-09,10
181,AW00011180,April Anand,78,50 And Above,New,2,138,69,23,6,1588,149,2013-09-25,6
182,AW00011181,Devin Martin,66,50 And Above,New,2,41,20,20,3,833,151,2013-07-11,2
183,AW00011182,Stephanie Torres,76,50 And Above,New,2,81,40,16,5,1366,145,2014-01-05,5
184,AW00011183,Jasmine Lee,76,50 And Above,New,2,46,23,23,4,1122,152,2013-06-13,2
185,AW00011184,Meghan Hernandez,71,50 And Above,New,2,68,34,34,5,1296,148,2013-10-09,2
186,AW00011185,Ashley Henderson,76,50 And Above,New,27,1616,59,146,68,17771,145,2014-01-26,11
187,AW00011186,Sarah Price,77,50 And Above,New,2,41,20,13,3,833,145,2014-01-07,3
188,AW00011187,Jennifer Cooper,77,50 And Above,New,2,108,54,27,4,1157,150,2013-08-06,4
189,AW00011188,Catherine Morris,76,50 And Above,New,2,81,40,40,5,1368,145,2014-01-21,2
190,AW00011189,Lawrence Blanco,76,50 And Above,VIP,2,5944,2972,330,6,1164,156,2013-02-05,18
191,AW00011190,Carson Bryant,77,50 And Above,New,2,46,23,9,4,1122,145,2014-01-16,5
192,AW00011191,Kristi Perez,75,50 And Above,VIP,3,6743,2247,249,7,1305,147,2013-11-06,27
193,AW00011192,James Brown,75,50 And Above,New,2,114,57,38,5,1352,149,2013-09-25,3
194,AW00011193,Ian Gray,76,50 And Above,New,2,41,20,6,3,833,150,2013-08-18,6
195,AW00011194,Jacqueline Price,76,50 And Above,New,2,105,52,11,6,1603,146,2013-12-08,9
196,AW00011195,Megan Henderson,75,50 And Above,New,2,105,52,17,6,1600,148,2013-10-22,6
197,AW00011196,Alfredo Romero,75,50 And Above,New,2,162,81,27,4,1092,149,2013-09-24,6
198,AW00011197,Andrea Morris,75,50 And Above,New,2,207,103,103,6,1662,151,2013-07-20,2
199,AW00011198,Brooke Sanders,74,50 And Above,New,2,98,49,98,4,1053,156,2013-02-13,0
200,AW00011199,Jacqueline Bennett,69,50 And Above,New,2,132,66,18,6,1588,148,2013-10-17,7
201,AW00011200,Jason Griffin,73,50 And Above,New,27,1461,54,132,55,14409,145,2014-01-20,11
202,AW00011201,Amanda Foster,73,50 And Above,New,2,181,90,90,6,1486,149,2013-09-09,2
203,AW00011202,Alexia Price,68,50 And Above,New,2,74,37,74,3,818,149,2013-09-21,0
204,AW00011203,Luis Diaz,67,50 And Above,New,17,800,47,80,32,8529,146,2013-12-11,10
205,AW00011204,Destiny Rivera,73,50 And Above,New,2,77,38,25,4,1077,147,2013-11-10,3
206,AW00011205,Abby Fernandez,72,50 And Above,New,2,37,18,12,2,543,148,2013-10-08,3
207,AW00011206,Blake Flores,72,50 And Above,New,2,77,38,77,4,1077,153,2013-05-30,0
208,AW00011207,Danielle Cox,72,50 And Above,New,2,77,38,8,4,1077,148,2013-10-18,9
209,AW00011208,Maria Reed,73,50 And Above,New,2,134,67,22,7,1652,149,2013-09-17,6
210,AW00011209,Allison Evans,73,50 And Above,New,2,37,18,3,2,543,145,2014-01-22,10
211,AW00011210,Edward Wood,73,50 And Above,New,2,70,35,17,5,1356,149,2013-09-06,4
212,AW00011211,Samantha Russell,66,50 And Above,New,17,792,46,72,33,8608,145,2014-01-07,11
213,AW00011212,Chloe Campbell,71,50 And Above,Regular,17,824,48,68,33,8673,145,2014-01-17,12
214,AW00011213,Stephanie Murphy,72,50 And Above,New,2,77,38,12,4,1078,149,2013-09-09,6
215,AW00011214,Charles Miller,71,50 And Above,New,2,162,81,54,4,1092,147,2013-11-19,3
216,AW00011215,Ana Perry,65,50 And Above,New,17,1154,67,115,32,8372,146,2013-12-15,10
217,AW00011216,Jasmine Torres,71,50 And Above,VIP,2,5948,2974,330,5,958,156,2013-02-05,18
218,AW00011217,Natalie Adams,71,50 And Above,VIP,2,5953,2976,330,3,392,156,2013-02-14,18
219,AW00011218,Olivia Brown,65,50 And Above,New,2,39,19,3,3,802,145,2014-01-04,11
220,AW00011219,Charles Cook,70,50 And Above,New,2,39,19,13,3,802,145,2014-01-24,3
221,AW00011220,Erica Huang,65,50 And Above,New,2,50,25,5,4,1000,146,2013-12-13,9
222,AW00011221,Nathan Perry,71,50 And Above,New,2,46,23,7,4,1122,148,2013-10-17,6
223,AW00011222,Alexandra Rivera,70,50 And Above,New,2,208,104,208,6,1534,147,2013-11-28,0
224,AW00011223,Hailey Patterson,69,50 And Above,Regular,27,1293,47,107,65,14419,145,2014-01-06,12
225,AW00011224,Tiffany Li,69,50 And Above,VIP,3,6685,2228,238,5,782,146,2013-12-03,28
226,AW00011225,Madison Lee,64,50 And Above,New,2,73,36,24,5,1172,149,2013-09-06,3
227,AW00011226,Sydney Ross,64,50 And Above,New,2,37,18,37,2,543,155,2013-03-31,1
228,AW00011227,Marshall Chavez,64,50 And Above,VIP,2,5910,2955,328,5,712,156,2013-02-10,18
229,AW00011228,Ashley Jones,70,50 And Above,New,2,77,38,25,4,1076,145,2014-01-17,3
230,AW00011229,Adrian Stewart,69,50 And Above,New,2,81,40,13,5,1368,145,2014-01-25,6
231,AW00011230,Amber Turner,70,50 And Above,New,2,54,27,10,5,1290,146,2013-12-09,5
232,AW00011231,Dennis Zhang,63,50 And Above,New,2,64,32,7,4,1006,147,2013-11-12,9
233,AW00011232,Hailey Bryant,68,50 And Above,New,2,39,19,19,3,802,147,2013-11-13,2
234,AW00011233,Todd Li,63,50 And Above,New,2,179,89,44,7,1641,152,2013-06-08,4
235,AW00011234,Anna Griffin,68,50 And Above,New,2,76,38,10,4,1078,149,2013-09-19,7
236,AW00011235,Angel Stewart,69,50 And Above,New,2,138,69,23,6,1587,145,2014-01-05,6
237,AW00011236,Jeremy Butler,69,50 And Above,New,2,114,57,38,5,1352,145,2014-01-06,3
238,AW00011237,Clarence Anand,62,50 And Above,VIP,4,10566,2641,406,6,781,147,2013-11-25,26
239,AW00011238,Mayra Prasad,62,50 And Above,VIP,4,7543,1885,279,9,1468,154,2013-04-30,27
240,AW00011239,Latoya Goel,57,50 And Above,VIP,4,7511,1877,268,11,2055,153,2013-05-28,28
241,AW00011240,Anne Hernandez,62,50 And Above,VIP,4,7586,1896,280,13,2372,153,2013-05-13,27
242,AW00011241,Lisa Cai,52,50 And Above,VIP,7,11468,1638,882,25,5445,148,2013-10-29,13
243,AW00011242,Larry Munoz,63,50 And Above,VIP,7,11067,1581,737,12,1938,146,2013-12-04,15
244,AW00011243,Robin Alvarez,63,50 And Above,VIP,4,7164,1791,255,12,2251,152,2013-06-09,28
245,AW00011244,Alexis Coleman,58,50 And Above,VIP,4,7175,1793,247,12,2498,151,2013-07-19,29
246,AW00011245,Ricky Vazquez,64,50 And Above,VIP,4,10580,2645,391,9,1510,146,2013-12-11,27
247,AW00011246,Latasha Rubio,64,50 And Above,VIP,4,10575,2643,406,7,948,146,2013-12-20,26
248,AW00011247,Claudia Zhou,65,50 And Above,VIP,4,7131,1782,237,12,2250,150,2013-08-17,30
249,AW00011248,Tristan Alexander,60,50 And Above,New,1,38,38,38,3,633,151,2013-07-14,0
250,AW00011249,Cindy Patel,60,50 And Above,VIP,4,9890,2472,430,11,2083,149,2013-09-15,23
251,AW00011250,Shannon Liu,60,50 And Above,VIP,4,7115,1778,245,11,1976,150,2013-08-06,29
252,AW00011251,Xavier Long,88,50 And Above,New,1,2319,2319,2319,4,687,148,2013-10-18,0
253,AW00011252,Nicholas Thompson,89,50 And Above,VIP,3,6685,2228,238,7,1024,146,2013-12-18,28
254,AW00011253,JosΓö£ΓîÉ Hernandez,77,50 And Above,New,16,695,43,77,30,7946,146,2013-12-03,9
255,AW00011254,Johnathan Vance,88,50 And Above,New,2,204,102,204,9,2206,146,2013-12-14,1
256,AW00011255,Colin Lin,88,50 And Above,New,2,114,57,114,5,1354,155,2013-03-31,1
257,AW00011256,Katelyn Hernandez,87,50 And Above,New,2,81,40,13,5,1366,148,2013-10-16,6
258,AW00011257,Jacqueline Powell,NULL,50 And Above,VIP,3,6676,2225,238,6,1026,146,2013-12-14,28
259,AW00011258,Xavier Hill,88,50 And Above,New,2,49,24,24,4,1001,151,2013-07-15,2
260,AW00011259,Victoria Stewart,56,50 And Above,VIP,3,6770,2256,250,5,792,146,2013-12-20,27
261,AW00011260,Katelyn Kelly,50,50 And Above,New,2,81,40,20,5,1367,152,2013-06-23,4
262,AW00011261,Stephanie Collins,56,50 And Above,VIP,3,6650,2216,246,4,531,146,2013-12-23,27
263,AW00011262,Jennifer Simmons,51,50 And Above,New,27,1124,41,102,63,16248,145,2014-01-22,11
264,AW00011263,Trinity Richardson,56,50 And Above,VIP,3,6753,2251,241,9,1743,146,2013-12-10,28
265,AW00011264,Eduardo Martin,57,50 And Above,New,2,3182,1591,318,8,1513,147,2013-11-30,10
266,AW00011265,Elizabeth Jones,56,50 And Above,New,1,2352,2352,2352,3,539,157,2013-01-03,0
267,AW00011266,Taylor Howard,57,50 And Above,VIP,2,5922,2961,370,5,705,157,2013-01-20,16
268,AW00011267,David Diaz,51,50 And Above,VIP,2,5943,2971,371,5,785,157,2013-01-07,16
